Hyperparameters,Reward Mean,Standard Deviation
"{'num_runs': 10, 'epsilon_decay': 0.6, 'learning_rate': 0.001, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",10.278800964355469,2.5847280025482178
"{'num_runs': 10, 'epsilon_decay': 0.2, 'learning_rate': 0.001, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",9.616000175476074,1.0992478132247925
"{'num_runs': 10, 'epsilon_decay': 0.1, 'learning_rate': 0.001, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",9.521200180053711,1.045011281967163
"{'num_runs': 10, 'epsilon_decay': 0.4, 'learning_rate': 0.001, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",9.678000450134277,1.234608769416809
"{'num_runs': 10, 'epsilon_decay': 0.99, 'learning_rate': 0.001, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",9.486800193786621,0.8589725494384766
"{'num_runs': 10, 'epsilon_decay': 0.7, 'learning_rate': 0.001, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",9.473199844360352,0.8757044672966003
"{'num_runs': 10, 'epsilon_decay': 0.3, 'learning_rate': 0.001, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",13.161600112915039,11.658758163452148
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.001, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",11.275999069213867,5.637277126312256
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.5, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",15.105199813842773,16.69045639038086
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.2, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",15.565999984741211,13.531085014343262
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",23.492002487182617,26.198272705078125
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.1, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",13.925999641418457,10.242387771606445
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.01, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",10.121599197387695,1.8440496921539307
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.92, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",11.929200172424316,5.451152801513672
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.95, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",11.387998580932617,3.7655599117279053
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.99, 'replay_buffer_size': 10000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",9.956399917602539,1.6164450645446777
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 64, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",10.915999412536621,3.554802417755127
